Table 1 30-Day Readmission for Mental Health and Substance Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Reporting level,Place or organization,Hospital Peer Group,Corporation,Region,Province/Territory,Urban or rural/remote,Trend note,Time Scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Risk-adjusted rate,Risk-adjusted rate: Confidence interval lower limit,Risk-adjusted rate: Confidence interval upper limit,Risk-adjusted rate: Statistically different,Risk-adjusted rate: Performance comparison,Risk-adjusted rate: Performance trend,Risk-adjusted rate: Top results,Risk-adjusted rate: Relative standing scatter plot confidence intervals,Numerator,Denominator,Crude rate,Disparity rate ratio,Disparity rate ratio: Confidence interval lower limit,Disparity rate ratio: Confidence interval upper limit,Disparity rate ratio: Statistically different,Potential rate reduction,Potential rate reduction: Confidence interval lower limit,Potential rate reduction: Confidence interval upper limit,Potential rate reduction: Statistically different,Expected
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2021–2022,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,14.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q1 (lowest income),14.5,14.26,14.80,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2021–2022,Urban versus rural/remote,Urban,13.8,13.67,14.02,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q2,13.6,13.26,13.95,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2021–2022,Urban versus rural/remote,Rural/remote,13.5,13.15,13.91,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q3,13.6,13.23,14.02,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q4,12.8,12.43,13.26,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q5 (highest income),13.3,12.84,13.74,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,13.3,–,–,–,–,–,–,–,"23,934","179,427",–,1.1,1.05,1.14,Yes,4.1,0.84,7.20,Yes,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2022–2023,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,7.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2022–2023,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,13.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2022–2023,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,15.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2022–2023,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,12.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2022–2023,Age group,65+,–,–,–,–,–,–,–,–,–,–,8.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2022–2023,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,13.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2022–2023,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,13.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2022–2023,Urban versus rural/remote,Urban,13.1,12.92,13.28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2022–2023,Neighbourhood income quintile,Q1 (lowest income),13.7,13.39,13.95,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2022–2023,Neighbourhood income quintile,Q2,13.1,12.77,13.46,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2022–2023,Urban versus rural/remote,Rural/remote,13.1,12.69,13.45,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2022–2023,Neighbourhood income quintile,Q3,12.4,12.01,12.79,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2022–2023,Neighbourhood income quintile,Q4,12.9,12.53,13.37,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2022–2023,Neighbourhood income quintile,Q5 (highest income),12.5,12.10,13.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,13.1,–,–,–,–,–,–,–,"23,806","181,921",–,1.1,1.02,1.10,Yes,3.7,0.48,6.88,Yes,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2023–2024,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,6.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2023–2024,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,13.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2023–2024,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,15.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2023–2024,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,12.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2023–2024,Age group,65+,–,–,–,–,–,–,–,–,–,–,8.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2023–2024,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,12.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2023–2024,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,13.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2023–2024,Neighbourhood income quintile,Q1 (lowest income),13.1,12.86,13.40,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2023–2024,Urban versus rural/remote,Urban,13.0,12.80,13.15,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2023–2024,Neighbourhood income quintile,Q2,12.8,12.44,13.12,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2023–2024,Urban versus rural/remote,Rural/remote,12.4,12.00,12.76,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2023–2024,Neighbourhood income quintile,Q3,13.1,12.70,13.48,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2023–2024,Neighbourhood income quintile,Q4,12.6,12.15,12.99,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2023–2024,Neighbourhood income quintile,Q5 (highest income),12.4,11.94,12.83,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,13.1,–,–,–,–,–,–,–,"23,525","180,169",–,1.1,1.04,1.13,Yes,6.4,3.11,9.50,Yes,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2024–2025,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,6.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2024–2025,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,13.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2024–2025,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,15.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2024–2025,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,12.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2024–2025,Age group,65+,–,–,–,–,–,–,–,–,–,–,8.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2024–2025,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,12.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2024–2025,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,13.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2024–2025,Urban versus rural/remote,Urban,13.1,12.88,13.24,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2024–2025,Neighbourhood income quintile,Q1 (lowest income),13.1,12.79,13.33,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2024–2025,Urban versus rural/remote,Rural/remote,12.0,11.63,12.39,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2024–2025,Neighbourhood income quintile,Q2,12.9,12.61,13.29,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2024–2025,Neighbourhood income quintile,Q3,13.2,12.79,13.58,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2024–2025,Neighbourhood income quintile,Q4,12.7,12.33,13.18,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2024–2025,Neighbourhood income quintile,Q5 (highest income),12.1,11.62,12.51,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,11.8,10.63,13.08,No,–,–,–,–,–,–,–,1.2,0.93,1.68,No,4.6,-19.19,24.43,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2015–2016,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,4.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2015–2016,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,10.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2015–2016,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,12.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2015–2016,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,14.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2015–2016,Age group,65+,–,–,–,–,–,–,–,–,–,–,7.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2015–2016,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,11.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2015–2016,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,11.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2015–2016,Urban versus rural/remote,Urban,12.6,11.04,14.40,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q1 (lowest income),13.9,11.70,16.48,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2015–2016,Urban versus rural/remote,Rural/remote,10.8,9.13,12.73,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q2,8.5,6.24,11.55,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q3,12.8,10.15,15.91,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q4,10.6,7.99,13.96,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q5 (highest income),11.2,8.66,14.31,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,12.3,11.09,13.56,No,–,–,–,–,–,–,–,1.2,0.89,1.56,No,3.2,-18.90,21.91,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2016–2017,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,3.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2016–2017,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,12.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2016–2017,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,13.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2016–2017,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,13.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2016–2017,Age group,65+,–,–,–,–,–,–,–,–,–,–,8.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2016–2017,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,11.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2016–2017,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,12.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q1 (lowest income),13.9,11.62,16.50,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2016–2017,Urban versus rural/remote,Urban,13.0,11.38,14.83,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q2,10.5,7.93,13.89,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2016–2017,Urban versus rural/remote,Rural/remote,11.3,9.66,13.23,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q3,9.9,7.62,12.68,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q4,14.4,11.38,18.03,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q5 (highest income),11.8,9.29,14.86,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,13.0,11.84,14.36,No,–,–,–,–,–,–,–,0.8,0.62,1.03,No,-14.5,-33.27,2.42,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2017–2018,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,2.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Newfoundland and Labrador,–,–,–,Newfoundland and Labrador,–,–,Fiscal year,2017–2018,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,13.1,–,–,–,–,–,–,–,–,–
