Place or organization,Province/territory,Region,Reporting level,Indicator,Time scale,Time frame,Age-standardized rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Denominator,Crude rate,Rate ratio (income),Potential rate reduction (income),Percent,Refresh date
Simcoe Muskoka District Health Unit (Ont.),Ontario,Simcoe Muskoka District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,330,"Per 100,000",317,343,-,-,-,-,-,-,"October 15, 2025"
Southern Health Region (Man.),Manitoba,Southern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,330,"Per 100,000",309,353,-,-,-,-,-,-,"October 15, 2025"
Zone 2 (Saint John Area) (N.B.),New Brunswick,Zone 2 (Saint John Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,330,"Per 100,000",308,355,-,-,-,-,-,-,"October 15, 2025"
Canada,-,-,National,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,369,"Per 100,000",367,371,"117,623","33,582,894",-,2.6,37.2,-,"October 15, 2025"
Bas-Saint-Laurent Region (Que.),Quebec,Bas-Saint-Laurent Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,369,"Per 100,000",347,393,-,-,-,-,-,-,"October 15, 2025"
Estrie Region (Que.),Quebec,Estrie Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,369,"Per 100,000",355,384,-,-,-,-,-,-,"October 15, 2025"
"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",Ontario,"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,369,"Per 100,000",344,396,-,-,-,-,-,-,"October 15, 2025"
Interior Health (B.C.),British Columbia,Interior Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,369,"Per 100,000",357,382,-,-,-,-,-,-,"October 15, 2025"
Interlake–Eastern Health Region (Man.),Manitoba,Interlake–Eastern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,369,"Per 100,000",342,400,-,-,-,-,-,-,"October 15, 2025"
Middlesex–London Health Unit (Ont.),Ontario,Middlesex–London Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,369,"Per 100,000",353,386,-,-,-,-,-,-,"October 15, 2025"
Middlesex–London Health Unit (Ont.),Ontario,Middlesex–London Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,369,"Per 100,000",353,386,-,-,-,-,-,-,"October 15, 2025"
Thompson/Cariboo HSDA (B.C.),British Columbia,Thompson/Cariboo HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,369,"Per 100,000",348,393,-,-,-,-,-,-,"October 15, 2025"
Zone 2 (Saint John Area) (N.B.),New Brunswick,Zone 2 (Saint John Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,369,"Per 100,000",344,397,-,-,-,-,-,-,"October 15, 2025"
New Brunswick,New Brunswick,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,346,"Per 100,000",334,358,-,-,-,2.4,36.9,-,"October 15, 2025"
Ontario,Ontario,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,346,"Per 100,000",343,349,-,-,-,2.8,39.4,-,"October 15, 2025"
"Leeds, Grenville and Lanark District Health Unit (Ont.)",Ontario,"Leeds, Grenville and Lanark District Health Unit (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,346,"Per 100,000",322,371,-,-,-,-,-,-,"October 15, 2025"
Zone 2 (Saint John Area) (N.B.),New Brunswick,Zone 2 (Saint John Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,346,"Per 100,000",322,371,-,-,-,-,-,-,"October 15, 2025"
Edmonton Zone (Alta.),Alberta,Edmonton Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,324,"Per 100,000",316,333,-,-,-,-,-,-,"October 15, 2025"
Fraser Health (B.C.),British Columbia,Fraser Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,324,"Per 100,000",316,331,-,-,-,-,-,-,"October 15, 2025"
Huron Perth Public Health (Ont.),Ontario,Huron Perth Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,324,"Per 100,000",298,352,-,-,-,-,-,-,"October 15, 2025"
Lanaudière Region (Que.),Quebec,Lanaudière Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,324,"Per 100,000",311,337,-,-,-,-,-,-,"October 15, 2025"
Region of Waterloo Public Health (Ont.),Ontario,Region of Waterloo Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,324,"Per 100,000",310,339,-,-,-,-,-,-,"October 15, 2025"
Zone 2 (Saint John Area) (N.B.),New Brunswick,Zone 2 (Saint John Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,324,"Per 100,000",302,349,-,"173,001",-,-,-,-,"October 15, 2025"
Timiskaming Health Unit (Ont.),Ontario,Timiskaming Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,547,"Per 100,000",488,616,-,-,-,-,-,-,"October 15, 2025"
Zone 3 (Fredericton Area) (N.B.),New Brunswick,Zone 3 (Fredericton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,547,"Per 100,000",517,579,-,-,-,-,-,-,"October 15, 2025"
Brant County Health Unit (Ont.),Ontario,Brant County Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,517,"Per 100,000",484,552,-,-,-,-,-,-,"October 15, 2025"
Regina Zone (Sask.),Saskatchewan,Regina Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,517,"Per 100,000",491,545,-,-,-,-,-,-,"October 15, 2025"
Zone 3 (Fredericton Area) (N.B.),New Brunswick,Zone 3 (Fredericton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,517,"Per 100,000",489,549,-,-,-,-,-,-,"October 15, 2025"
Zone 3 (Fredericton Area) (N.B.),New Brunswick,Zone 3 (Fredericton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,517,"Per 100,000",490,546,-,-,-,-,-,-,"October 15, 2025"
Southwestern Public Health (Ont.),Ontario,Southwestern Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,498,"Per 100,000",472,527,-,-,-,-,-,-,"October 15, 2025"
Zone 3 (Fredericton Area) (N.B.),New Brunswick,Zone 3 (Fredericton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,498,"Per 100,000",471,528,-,-,-,-,-,-,"October 15, 2025"
Alberta,Alberta,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,423,"Per 100,000",417,429,-,-,-,-,-,-,"October 15, 2025"
Alberta,Alberta,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,423,"Per 100,000",417,429,-,-,-,-,-,-,"October 15, 2025"
Haldimand–Norfolk Health Unit (Ont.),Ontario,Haldimand–Norfolk Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,423,"Per 100,000",391,458,-,-,-,-,-,-,"October 15, 2025"
Huron Perth Public Health (Ont.),Ontario,Huron Perth Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,423,"Per 100,000",392,456,-,-,-,-,-,-,"October 15, 2025"
"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Ontario,"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,423,"Per 100,000",398,450,-,-,-,-,-,-,"October 15, 2025"
Lanaudière Region (Que.),Quebec,Lanaudière Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,423,"Per 100,000",409,438,-,-,-,-,-,-,"October 15, 2025"
Mauricie et Centre-du-Québec Region (Que.),Quebec,Mauricie et Centre-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,423,"Per 100,000",408,439,-,-,-,-,-,-,"October 15, 2025"
Thompson/Cariboo HSDA (B.C.),British Columbia,Thompson/Cariboo HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,423,"Per 100,000",399,449,-,-,-,-,-,-,"October 15, 2025"
Zone 3 (Fredericton Area) (N.B.),New Brunswick,Zone 3 (Fredericton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,423,"Per 100,000",397,451,-,-,-,-,-,-,"October 15, 2025"
Fraser East HSDA (B.C.),British Columbia,Fraser East HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,433,"Per 100,000",413,455,-,-,-,-,-,-,"October 15, 2025"
Zone 3 (Fredericton Area) (N.B.),New Brunswick,Zone 3 (Fredericton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,433,"Per 100,000",408,461,-,-,-,-,-,-,"October 15, 2025"
Zone 6 (Bathurst Area) (N.B.),New Brunswick,Zone 6 (Bathurst Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,433,"Per 100,000",394,476,-,-,-,-,-,-,"October 15, 2025"
Edmonton Zone (Alta.),Alberta,Edmonton Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,306,"Per 100,000",298,315,-,-,-,-,-,-,"October 15, 2025"
Middlesex–London Health Unit (Ont.),Ontario,Middlesex–London Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,306,"Per 100,000",292,321,-,-,-,-,-,-,"October 15, 2025"
Toronto Public Health (Ont.),Ontario,Toronto Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,306,"Per 100,000",300,312,-,-,-,-,-,-,"October 15, 2025"
Toronto Region (Ont.),Ontario,Toronto Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,306,"Per 100,000",300,312,-,-,-,-,-,-,"October 15, 2025"
Zone 3 (Fredericton Area) (N.B.),New Brunswick,Zone 3 (Fredericton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,306,"Per 100,000",284,330,-,-,-,-,-,-,"October 15, 2025"
Calgary Zone (Alta.),Alberta,Calgary Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,297,"Per 100,000",289,305,-,-,-,-,-,-,"October 15, 2025"
Durham Region Health Department (Ont.),Ontario,Durham Region Health Department (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,297,"Per 100,000",284,309,-,-,-,-,-,-,"October 15, 2025"
"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",Ontario,"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,297,"Per 100,000",275,322,-,-,-,-,-,-,"October 15, 2025"
Toronto Public Health (Ont.),Ontario,Toronto Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,297,"Per 100,000",291,303,-,-,-,-,-,-,"October 15, 2025"
Toronto Public Health (Ont.),Ontario,Toronto Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,297,"Per 100,000",291,303,-,-,-,-,-,-,"October 15, 2025"
Toronto Region (Ont.),Ontario,Toronto Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,297,"Per 100,000",291,303,-,-,-,-,-,-,"October 15, 2025"
Toronto Region (Ont.),Ontario,Toronto Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,297,"Per 100,000",291,303,-,-,-,-,-,-,"October 15, 2025"
Zone 3 (Fredericton Area) (N.B.),New Brunswick,Zone 3 (Fredericton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,297,"Per 100,000",275,321,-,-,-,-,-,-,"October 15, 2025"
East Region (Ont.),Ontario,East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,354,"Per 100,000",348,361,-,-,-,-,-,-,"October 15, 2025"
North Vancouver Island HSDA (B.C.),British Columbia,North Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,354,"Per 100,000",325,386,-,-,-,-,-,-,"October 15, 2025"
Southwestern Public Health (Ont.),Ontario,Southwestern Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,354,"Per 100,000",331,378,-,-,-,-,-,-,"October 15, 2025"
Thompson/Cariboo HSDA (B.C.),British Columbia,Thompson/Cariboo HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,354,"Per 100,000",333,378,-,-,-,-,-,-,"October 15, 2025"
Wellington–Dufferin–Guelph Public Health (Ont.),Ontario,Wellington–Dufferin–Guelph Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,354,"Per 100,000",334,375,-,-,-,-,-,-,"October 15, 2025"
Zone 3 (Fredericton Area) (N.B.),New Brunswick,Zone 3 (Fredericton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,354,"Per 100,000",330,380,-,-,-,-,-,-,"October 15, 2025"
Quebec,Quebec,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,376,"Per 100,000",373,380,-,-,-,2.6,38.7,-,"October 15, 2025"
Kootenay–Boundary HSDA (B.C.),British Columbia,Kootenay–Boundary HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,376,"Per 100,000",340,417,-,-,-,-,-,-,"October 15, 2025"
Lambton Public Health (Ont.),Ontario,Lambton Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,376,"Per 100,000",348,408,-,-,-,-,-,-,"October 15, 2025"
"Leeds, Grenville and Lanark District Health Unit (Ont.)",Ontario,"Leeds, Grenville and Lanark District Health Unit (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,376,"Per 100,000",352,402,-,-,-,-,-,-,"October 15, 2025"
Mauricie et Centre-du-Québec Region (Que.),Quebec,Mauricie et Centre-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,376,"Per 100,000",362,390,-,-,-,-,-,-,"October 15, 2025"
Zone 3 (Fredericton Area) (N.B.),New Brunswick,Zone 3 (Fredericton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,376,"Per 100,000",352,402,-,-,-,-,-,-,"October 15, 2025"
Zone 5 (Campbellton Area) (N.B.),New Brunswick,Zone 5 (Campbellton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,832,"Per 100,000",748,930,-,-,-,-,-,-,"October 15, 2025"
North Central West Zone (Sask.),Saskatchewan,North Central West Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,704,"Per 100,000",655,758,-,-,-,-,-,-,"October 15, 2025"
Zone 5 (Campbellton Area) (N.B.),New Brunswick,Zone 5 (Campbellton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,704,"Per 100,000",625,796,-,-,-,-,-,-,"October 15, 2025"
Zone 5 (Campbellton Area) (N.B.),New Brunswick,Zone 5 (Campbellton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,601,"Per 100,000",525,692,-,-,-,-,-,-,"October 15, 2025"
Abitibi-Témiscamingue Region (Que.),Quebec,Abitibi-Témiscamingue Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,554,"Per 100,000",522,588,-,-,-,-,-,-,"October 15, 2025"
Abitibi-Témiscamingue Region (Que.),Quebec,Abitibi-Témiscamingue Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,554,"Per 100,000",522,589,-,-,-,-,-,-,"October 15, 2025"
Thunder Bay District Health Unit (Ont.),Ontario,Thunder Bay District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,554,"Per 100,000",520,590,-,-,-,-,-,-,"October 15, 2025"
Zone 5 (Campbellton Area) (N.B.),New Brunswick,Zone 5 (Campbellton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,554,"Per 100,000",491,630,-,-,-,-,-,-,"October 15, 2025"
Gaspésie–Îles-de-la-Madeleine Region (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,526,"Per 100,000",487,570,-,"80,655",-,-,-,-,"October 15, 2025"
Regina Zone (Sask.),Saskatchewan,Regina Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,526,"Per 100,000",498,555,-,-,-,-,-,-,"October 15, 2025"
Zone 5 (Campbellton Area) (N.B.),New Brunswick,Zone 5 (Campbellton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,526,"Per 100,000",465,599,-,-,-,-,-,-,"October 15, 2025"
Thunder Bay District Health Unit (Ont.),Ontario,Thunder Bay District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,659,"Per 100,000",623,698,-,-,-,-,-,-,"October 15, 2025"
Zone 5 (Campbellton Area) (N.B.),New Brunswick,Zone 5 (Campbellton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,659,"Per 100,000",591,741,-,-,-,-,-,-,"October 15, 2025"
"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Ontario,"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,431,"Per 100,000",405,458,-,-,-,-,-,-,"October 15, 2025"
Regina Zone (Sask.),Saskatchewan,Regina Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,431,"Per 100,000",408,456,-,-,-,-,-,-,"October 15, 2025"
Zone 5 (Campbellton Area) (N.B.),New Brunswick,Zone 5 (Campbellton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,431,"Per 100,000",373,502,-,-,-,-,-,-,"October 15, 2025"
Calgary Zone (Alta.),Alberta,Calgary Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,263,"Per 100,000",257,270,-,"1,852,755",-,-,-,-,"October 15, 2025"
